country,x,y
iceland,-503,276
faroe islands,-300,319
ireland,-398,49
france,-240,-202
spain,-428,-384
portugal,-538,-359
norway,-62,234
sweden,30,254
finland,194,330
russia,440,171
estonia,208,173
latvia,213,116
lithuania,141,32
poland,105,-45
germany,-71,-79
netherlands,-154,-31
belgium,-177,-78
luxembourg,-153,-113
switzerland,-121,-206
liechtenstein,-89,-203
austria,15,-193
czech republic,29,-122
slovenia,21,-238
croatia,56,-252
bosnia,94,-299
montenegro,124,-341
serbia,161,-298
albania,146,-392
kosovo,164,-345
macedonia,186,-372
bulgaria,261,-336
greece,194,-438
turkey,456,-418
romania,240,-235
moldova,318,-179
ukraine,346,-105
belarus,264,8
denmark,-76,79
malta,79,-491
hungary,110,-210
slovakia,111,-153
cyprus,440,-491
united kingdom,-283,14
















